source_type,identifier,audience,classification,sentence,origin_file,origin_line,note
canvas-page,student-4sw-wk5-day-4-automotive-route-decision,student,D,"# STUDENT: 4SW Wk5 Day 4 - Automotive Route Decision | published=False 4th Six Weeks · Week 5 · Day 4 Evaluate Automotive Training Routes Use the HQIM program names, current logistics, and route evidence to recommend a first investigation step.",.tmp/canvas-dump-20260914/canvas/pages/student-4sw-wk5-day-4-automotive-route-decision.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,student-4sw-wk5-day-4-automotive-route-decision,student,D,168: use these HQIM program names.,.tmp/canvas-dump-20260914/canvas/pages/student-4sw-wk5-day-4-automotive-route-decision.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,student-4sw-wk5-day-4-automotive-route-decision,student,D,"Use the HQIM and current district evidence FYF names Automotive Technology, Collision Repair, and Diesel & Heavy Equipment Technology.",.tmp/canvas-dump-20260914/canvas/pages/student-4sw-wk5-day-4-automotive-route-decision.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,student-4sw-wk5-day-4-automotive-route-decision,student,D,HQIM program names;,.tmp/canvas-dump-20260914/canvas/pages/student-4sw-wk5-day-4-automotive-route-decision.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,student-4sw-wk5-day-4-automotive-route-decision,student,D,If you were absent or a platform did not work The two-page fallback and embedded HQIM pages are the complete route when a site fails.,.tmp/canvas-dump-20260914/canvas/pages/student-4sw-wk5-day-4-automotive-route-decision.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,teacher-1sw-wk1-day-1-facilitator-guide,teacher,D,Teacher Facilitator Guide - 1SW Wk1 Day 1 Manufacturing Cluster Tour 50 minutes - required Xello and district HQIM Protect the ten-minute Xello task.,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk1-day-1-facilitator-guide.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,teacher-1sw-wk1-day-1-facilitator-guide,teacher,B,Do not overwrite a district HQIM figure with a differently defined national median.,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk1-day-1-facilitator-guide.txt,,"Wk1 Day 1 pairs Xello and the workbook; ""district HQIM figure"" = the platform localized figure (H&L or Xello). Needs a phrasing decision."
canvas-page,teacher-1sw-wk1-day-2-facilitator-guide,teacher,A,"If sources differ, check geography and measure rather than declaring the HQIM wrong.",.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk1-day-2-facilitator-guide.txt,,Wk1 Day 2 guide mirrors the [H&L PLATFORM] block; HQIM = the H&L figure.
canvas-page,teacher-1sw-wk2-day-2-facilitator-guide,teacher,B,"# TEACHER: 1SW Wk2 Day 2 Facilitator Guide | published=False Teacher Facilitator Guide - 1SW Wk2 Day 2 Programming Pathway Deep-Dive 50 minutes · TEKS d(1)(C), d(2)(A) Topic: Programming Careers Objective: Students will identify programming career opportunities and research the work and preparation for three careers using a district HQIM source.",.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-2-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-2-facilitator-guide,teacher,B,"TEKS: d(1)(C), d(2)(A) Demonstration of Learning: Lightweight four-Hat notes, the Day 2 HQIM sections on pages 1-3 of the salary packet, and a supported hiring decision.",.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-2-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-2-facilitator-guide,teacher,B,"Student evidence and grading Students keep lightweight four-Hat browse notes, then choose three careers and complete only the Day 2 HQIM section on pages 1-3 of the salary packet.",.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-2-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-2-facilitator-guide,teacher,B,Minutes 16-40 - Complete Day 2 HQIM sections on pages 1-3 Students select three careers from their browse and open the five-page IT Salary Comparison packet.,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-2-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-2-facilitator-guide,teacher,B,"Students complete ONLY the Day 2 - HQIM career evidence section on pages 1-3 for their three chosen careers: exact title, platform/date, job task, and common preparation.",.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-2-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-2-facilitator-guide,teacher,B,Protect the three completed HQIM packet sections and the hiring scenario DOL.,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-2-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-2-facilitator-guide,teacher,B,"do not cut the three selected HQIM records, hiring DOL, or close.",.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-2-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-2-facilitator-guide,teacher,A,Platform or absence fallback Use the verified Web Developer model for one career and any available HQIM Hat pages for the other two.,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-2-facilitator-guide.txt,,"""HQIM Hat pages"" = Hats & Ladders Hat profiles specifically."
canvas-page,teacher-1sw-wk2-day-3-facilitator-guide,teacher,B,H&L or Xello supplies the district HQIM localized figure;,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-3-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-3-facilitator-guide,teacher,B,Teach students the crucial distinction: local HQIM starting ranges vs.,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-3-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-3-facilitator-guide,teacher,B,"Platform or absence fallback If a live source fails, use the student's Day 2 HQIM record and the fixed career card inside the BLS guide.",.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-3-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-5-facilitator-guide,teacher,B,Page 1: Career 1 complete with HQIM and BLS data.,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-5-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-5-facilitator-guide,teacher,B,Page 2: Career 2 complete with HQIM and BLS data.,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-5-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk2-day-5-facilitator-guide,teacher,B,Page 3: Career 3 complete with HQIM and BLS data.,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk2-day-5-facilitator-guide.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,teacher-1sw-wk4-day-1-facilitator-guide,teacher,B,Open the student guide Daily learning contract Topic: IT Support Careers Objective: Students will identify IT support career opportunities and describe common preparation requirements using district HQIM and fixed career evidence.,.tmp/canvas-dump-20260914/canvas/pages/teacher-1sw-wk4-day-1-facilitator-guide.txt,,"""district HQIM source"" for IT support careers; platform-generic."
canvas-page,teacher-2sw-wk3-day-1-facilitator-guide,teacher,D,84-85 are the assigned district-customized HQIM snapshot.,.tmp/canvas-dump-20260914/canvas/pages/teacher-2sw-wk3-day-1-facilitator-guide.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,teacher-2sw-wk3-day-1-facilitator-guide,teacher,D,The assigned FYF page remains valid HQIM;,.tmp/canvas-dump-20260914/canvas/pages/teacher-2sw-wk3-day-1-facilitator-guide.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,teacher-4sw-wk2-day-4-facilitator-guide,teacher,D,"Open the matching student guide Before class Required HQIM: one FYF workbook per student, open to pp.",.tmp/canvas-dump-20260914/canvas/pages/teacher-4sw-wk2-day-4-facilitator-guide.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,teacher-4sw-wk4-day-5-facilitator-guide,teacher,D,Keep those HQIM names.,.tmp/canvas-dump-20260914/canvas/pages/teacher-4sw-wk4-day-5-facilitator-guide.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,teacher-4sw-wk5-day-4-facilitator-guide,teacher,D,Use the HQIM and the right current source for the right job.,.tmp/canvas-dump-20260914/canvas/pages/teacher-4sw-wk5-day-4-facilitator-guide.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,teacher-4sw-wk5-day-4-facilitator-guide,teacher,D,"Monitor, pivot, and trim CFU at minute 10: students sort one HQIM program name, one current-campus fact, and one unresolved logistics question.",.tmp/canvas-dump-20260914/canvas/pages/teacher-4sw-wk5-day-4-facilitator-guide.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,teacher-4sw-wk5-day-4-facilitator-guide,teacher,D,"Current sources and claim boundaries Irving High School CTE · TCC Automotive · TWC ApprenticeshipTexas Language, reading, and participation supports Keep the HQIM images, word bank, and full frame visible.",.tmp/canvas-dump-20260914/canvas/pages/teacher-4sw-wk5-day-4-facilitator-guide.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
canvas-page,teacher-4sw-wk5-day-4-facilitator-guide,teacher,D,"Platform, privacy, materials, and absence route The embedded HQIM pages and two-page fallback are complete when sites fail.",.tmp/canvas-dump-20260914/canvas/pages/teacher-4sw-wk5-day-4-facilitator-guide.txt,,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
repo-docs,docs/scope-and-sequence.md,lesson-md,C,"84-85 are the district-customized HQIM snapshot for program, IBC, equipment, credential, and experience examples.",docs/scope-and-sequence.md,18,"Planning/pacing doc (dev+teacher planning), policy usage. Leave or optional."
repo-docs,docs/scope-and-sequence.md,lesson-md,C,optional no-workbook scaffolds | FYF/H&L district HQIM;,docs/scope-and-sequence.md,19,"Planning/pacing doc (dev+teacher planning), policy usage. Leave or optional."
repo-docs,docs/scope-and-sequence.md,lesson-md,C,| FYF/H&L district HQIM;,docs/scope-and-sequence.md,22,"Planning/pacing doc (dev+teacher planning), policy usage. Leave or optional."
repo-docs,docs/scope-and-sequence.md,lesson-md,C,Day 2 plans from the HQIM client brief.,docs/scope-and-sequence.md,23,"Planning/pacing doc (dev+teacher planning), policy usage. Leave or optional."
repo-docs,docs/scope-and-sequence.md,lesson-md,C,"Current Irving ISD pages confirm or extend exact campus, course, application, and access details without displacing the HQIM students are using.",docs/scope-and-sequence.md,28,"Planning/pacing doc (dev+teacher planning), policy usage. Leave or optional."
repo-docs,docs/1sw/wk1-robotics-manufacturing/overview.md,lesson-md,D,Keep those details attributed to the workbook so students see the same program information in Canvas and in their HQIM.,docs/1sw/wk1-robotics-manufacturing/overview.md,44,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
repo-docs,docs/1sw/wk1-robotics-manufacturing/day2.md,lesson-md,A,A different national figure does not replace the district HQIM figure.,docs/1sw/wk1-robotics-manufacturing/day2.md,84,"Inside an [H&L PLATFORM] block that names Hats & Ladders explicitly; ""district HQIM figure"" = the H&L figure."
repo-docs,docs/1sw/wk3-computer-science-it/overview.md,lesson-md,D,Treat that workbook language as the student-facing HQIM.,docs/1sw/wk3-computer-science-it/overview.md,42,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
repo-docs,docs/1sw/wk3-computer-science-it/overview.md,lesson-md,D,"38 still provides the district HQIM launch into the H&L Information Technology cluster, but H&L browsing, ratings, and exact live titles remain supplemental rather than graded state.",docs/1sw/wk3-computer-science-it/overview.md,63,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
repo-docs,docs/1sw/wk2-programming-it/overview.md,lesson-md,B,"...t-customized *Find Your Future* workbook, focus on Programming and Software Development, work the ""Powerskill: Resilience"" bounce-back activity, compare three programming careers with clearly labeled HQIM and external-source evidence, and test a programming concept through one verified tutorial or the supplied no-login trace in the Canvas Student Guide....",docs/1sw/wk2-programming-it/overview.md,7,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/overview.md,lesson-md,B,"**Success Criteria:** I will know I am successful when my three-career packet keeps the Day 2 HQIM evidence and Day 3 BLS evidence in their labeled sections, my Flip the Failure chart gives a specific next move for all four problems, I can explain one programming concept, and my final reflection connects a Personality Style trait to an IT fit decision.",docs/1sw/wk2-programming-it/overview.md,11,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/overview.md,lesson-md,B,"- **d(2)(A):** Research applicable academic, technical, certification, and training requirements (Day 2 HQIM sections on pages 1-3).",docs/1sw/wk2-programming-it/overview.md,21,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/overview.md,lesson-md,B,"Students complete its Day 2 HQIM sections on pages 1-3, add four BLS fields and page 4 on Day 3, then finish page 5 on Day 5.",docs/1sw/wk2-programming-it/overview.md,35,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/overview.md,lesson-md,B,Teach those details as attributed HQIM content.,docs/1sw/wk2-programming-it/overview.md,51,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/overview.md,lesson-md,B,| 2 | Programming Pathway Deep-Dive | Lightweight four-Hat browse + Day 2 HQIM sections for three selected careers | Pages 1-3 HQIM evidence + hiring decision | Engage · Explore · Explain · Evaluate |,docs/1sw/wk2-programming-it/overview.md,90,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/overview.md,lesson-md,B,- **Day 2:** Lightweight four-Hat notes + Day 2 HQIM sections on pages 1-3 + Mini-Case exit ticket.,docs/1sw/wk2-programming-it/overview.md,98,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/overview.md,lesson-md,B,"Each record keeps the Day 2 HQIM career title, platform/geography/measure/figure/date, task, and common preparation separate from the Day 3 BLS occupation title, national median/year, entry education, and outlook percent/years.",docs/1sw/wk2-programming-it/overview.md,105,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day5.md,lesson-md,B,Full-credit work accurately represents the student's assessment result and the cited HQIM evidence.,docs/1sw/wk2-programming-it/day5.md,70,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day3.md,lesson-md,B,compare three IT careers while keeping HQIM local figures and external national figures separately labeled;,docs/1sw/wk2-programming-it/day3.md,15,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day3.md,lesson-md,B,**Sources:** Hats & Ladders or Xello for the district-adopted localized HQIM figure;,docs/1sw/wk2-programming-it/day3.md,66,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day3.md,lesson-md,B,The **HQIM localized salary** evidence should already be complete.,docs/1sw/wk2-programming-it/day3.md,70,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day3.md,lesson-md,B,Today they add the BLS national cross-check without replacing or recopying the HQIM section.,docs/1sw/wk2-programming-it/day3.md,70,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day3.md,lesson-md,B,"The HQIM shows _____ as a _____ for _____, so I kept the two measures separate.""",docs/1sw/wk2-programming-it/day3.md,109,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day3.md,lesson-md,B,"- **Absent today:** Use the embedded failed-test images, the Day 2 HQIM records, and the fixed career card inside the BLS guide to complete the same four-row chart and pages 1-4.",docs/1sw/wk2-programming-it/day3.md,133,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day2.md,lesson-md,B,- **Objective:** Students will identify programming career opportunities and research the work and preparation for three careers using a district HQIM source.,docs/1sw/wk2-programming-it/day2.md,6,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day2.md,lesson-md,B,"- **Demonstration of Learning:** Lightweight four-Hat notes, the Day 2 HQIM sections on pages 1-3 of the salary packet, and a supported hiring decision.",docs/1sw/wk2-programming-it/day2.md,8,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day2.md,lesson-md,B,"record each career's exact HQIM title, source labels, task, and common preparation on pages 1-3 of the salary packet |",docs/1sw/wk2-programming-it/day2.md,15,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day2.md,lesson-md,B,| **5E Phases** | Engage: Warm-Up · Explore: Four programming Hats in the app · Explain: Day 2 HQIM evidence on pages 1-3 · Evaluate: Exit Ticket |,docs/1sw/wk2-programming-it/day2.md,17,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day2.md,lesson-md,B,"| **Deliverable** | Lightweight four-Hat notes, Day 2 HQIM sections on pages 1-3, and a supported hiring decision |",docs/1sw/wk2-programming-it/day2.md,18,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day2.md,lesson-md,B,"Keep the three HQIM records, hiring DOL, and 3-minute close.",docs/1sw/wk2-programming-it/day2.md,28,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day2.md,lesson-md,B,"Do not tell them which career is ""better"" before they inspect the HQIM evidence.",docs/1sw/wk2-programming-it/day2.md,60,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk2-programming-it/day2.md,lesson-md,B,Students choose three careers from the browse and complete only the **Day 2 - HQIM career evidence** section on pages 1-3 of the same five-page packet:,docs/1sw/wk2-programming-it/day2.md,70,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
repo-docs,docs/1sw/wk5-cybersecurity-it/overview.md,lesson-md,D,### District HQIM,docs/1sw/wk5-cybersecurity-it/overview.md,34,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
repo-docs,docs/1sw/wk5-cybersecurity-it/overview.md,lesson-md,D,Present these pages as Irving ISD HQIM.,docs/1sw/wk5-cybersecurity-it/overview.md,38,"HQIM here means the printed *Find Your Future* (FYF) workbook, not Hats & Ladders. Correct replacement is ""Find Your Future workbook"" / ""your workbook"", not ""H&L""."
