day_key,google_doc_title,google_doc_contains,retargeted_pdfs,response_route_candidates,student_page,teacher_page,onenote_status,google_doc_id,flag
1SW-Wk2-Day1,CCE | 1SW Wk2 Day 1 | IT Cluster Tour - The 5 Pathways,exit-ticket-only (Career and College Explorations - Venn Diagram; 1116 chars body),1sw-wk2-day1-it-cluster-tour-four-irving-programs-of-study.pdf [exit-ticket] #14519034 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || wk2-it-programs-scaffold.pdf [worksheet/1p] #14519022 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk2-it-programs-scaffold.pdf/1p #14519022 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk2-day-1-map-the-it-cluster,teacher-1sw-wk2-day-1-facilitator-guide,pending,1hoghFvnhWMpQ6wMHF_LKQQNf3zDoIpoFXzmRV7PGlJ4,COLLAPSED-MULTI
1SW-Wk2-Day2,"CCE | 1SW Wk2 Day 2 | Programming Pathway Deep-Dive - Software, Web, App, Game",exit-ticket-only (Career and College Explorations - Mini-Case; 1250 chars body),1sw-wk2-day2-programming-pathway-deep-dive-software-web-app-game.pdf [exit-ticket] #14519035 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || wk2-it-salary-comparison.pdf [worksheet/5p] #14580354 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk2-it-salary-comparison.pdf/5p #14580354 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk2-day-2-compare-programming-careers,teacher-1sw-wk2-day-2-facilitator-guide,pending,15MLWoa58s8FZtLZQdWnwS2Mzj58HQCKY1Ric2hWDc2o,COLLAPSED-MULTI
1SW-Wk2-Day3,CCE | 1SW Wk2 Day 3 | IT Salary Showdown - Comparing 3 Programming Careers,exit-ticket-only (Career and College Explorations - Comparison Matrix; 1148 chars body),1sw-wk2-day3-powerskill-resilience-it-salary-showdown.pdf [exit-ticket] #14519036 -> student:NOT-LINKED; teacher:no docMatch=0.00 || wk2-flip-the-failure-scaffold.pdf [worksheet/1p] #14519030 -> student:NOT-LINKED; teacher:no docMatch=0.00 || wk2-it-salary-comparison.pdf [worksheet/5p] #14580354 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk2-bls-data-guide.pdf/2p #14580356 inDoc=no student=LINKED teacher=LINKED || wk2-flip-the-failure-scaffold.pdf/1p #14519030 inDoc=no student=NOT-LINKED teacher=no || wk2-it-salary-comparison.pdf/5p #14580354 inDoc=yes student=NOT-LINKED teacher=LINKED,student-1sw-wk2-day-3-resilience-and-salary-showdown,teacher-1sw-wk2-day-3-facilitator-guide,pending,1jua53MPweEUjs4uBfVEoS71fyhtK3swtvcJNxj90k-8,COLLAPSED-MULTI
1SW-Wk2-Day4,CCE | 1SW Wk2 Day 4 | Code.org Hour of Code (Day 1),exit-ticket-only (Career and College Explorations - Short Constructed Response; 1060 chars body),1sw-wk2-day4-code-org-hour-of-code-day-1.pdf [exit-ticket] #14519037 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,(none),student-1sw-wk2-day-4-test-a-programming-concept,teacher-1sw-wk2-day-4-facilitator-guide,pending,1D-wBbboQZ9qkXvu91W__I_S2vfZOSowyhJrAdAmGc2I,COLLAPSED
1SW-Wk2-Day5,CCE | 1SW Wk2 Day 5 | Hour of Code (Day 2) + Pathway Fit + IT Favorites,exit-ticket-only (Career and College Explorations - Concept Map; 1327 chars body),(none),wk2-day5-it-pathway-decision.pdf/1p #14519033 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk2-day-5-personality-style-and-it-decision,teacher-1sw-wk2-day-5-facilitator-guide,pending,1GduEsG_eXneSB_mGsJqCUIA2VplZZ9M2GkPnSn5xhlA,COLLAPSED
1SW-Wk3-Day1,CCE | 1SW Wk3 Day 1 | Networking Systems Pathway + Transferable Skills,exit-ticket-only (Career and College Explorations - Venn Diagram; 1058 chars body),1sw-wk3-day1-networking-systems-pathway-transferable-skills.pdf [exit-ticket] #14519360 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || wk3-transferable-skills-list.pdf [worksheet/1p] #14519351 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk3-networking-career-cards.pdf/2p #14580294 inDoc=yes student=LINKED teacher=LINKED || wk3-transferable-skills-list.pdf/1p #14519351 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk3-day-1-compare-networking-careers,teacher-1sw-wk3-day-1-facilitator-guide,pending,1Z1ZaOjeILLlQAwWo9IvmSfQ1Osd0bDKu1vGEDGJgea4,COLLAPSED-MULTI
1SW-Wk3-Day2,"CCE | 1SW Wk3 Day 2 | Website Design (Part 1) - Read, Plan, Choose",exit-ticket-only (Career and College Explorations - Mini-Case; 1265 chars body),1sw-wk3-day2-website-revamp-audit-a-real-site.pdf [exit-ticket] #14519361 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || wk3-ux-audit-scaffold.pdf [worksheet/1p] #14519352 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk3-ux-audit-scaffold.pdf/1p #14519352 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk3-day-2-audit-a-website,teacher-1sw-wk3-day-2-facilitator-guide,pending,1sCGuPdiUPwvoM0O9m65YyqmzJ_840OAaYXT_CSTtdaM,COLLAPSED-MULTI
1SW-Wk3-Day3,CCE | 1SW Wk3 Day 3 | From Wireframe to Wow — Build the Screens,"exit-ticket-only (H&L Setup and Discover Your Core; 1840 chars body) — WRONG-DAY CONTENT: body is the 1SW Wk0 Day 2 ""Who Are You at Work?"" ticket",wk3-wireframe-template.pdf [worksheet/1p] #14519353 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk3-wireframe-template.pdf/1p #14519353 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk3-day-3-build-four-app-screens,teacher-1sw-wk3-day-3-facilitator-guide,pending,1SyQB5eeYORonPaLr8_U3LKUp7bC2BnECxTpsRST7OuU,COLLAPSED WRONG-DAY-DOC
1SW-Wk3-Day4,"CCE | 1SW Wk3 Day 4 | Emerging Tech Research - AI, Cloud, Data Science",exit-ticket-only (Career and College Explorations - Comparison Matrix; 1301 chars body),wk3-day4-career-comparison.pdf [worksheet/1p] #14519358 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || wk3-emerging-tech-research-template.pdf [worksheet/2p] #14580295 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk3-day4-career-comparison.pdf/1p #14519358 inDoc=no student=NOT-LINKED teacher=LINKED || wk3-emerging-tech-research-template.pdf/2p #14580295 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk3-day-4-research-an-emerging-it-career,teacher-1sw-wk3-day-4-facilitator-guide,pending,1sKheqR2Fpbh2qA0EY0tDkhRh_X6eRuRgarR9dUQUJ1I,COLLAPSED-MULTI
1SW-Wk3-Day5,CCE | 1SW Wk3 Day 5 | Mini-Presentations + Xello Skills + Wk3 Wrap-Up,exit-ticket-only (Career and College Explorations - Concept Map; 1431 chars body),wk3-day5-learning-style-connection.pdf [worksheet/1p] #14662874 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk3-day5-learning-style-connection.pdf/1p #14662874 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk3-day-5-learning-style-quiz-and-lesson,teacher-1sw-wk3-day-5-facilitator-guide,pending,1CwP4DQm1ZtIE4r_TtmaJ9sb3rOHMIhjketbj1HZPyN0,COLLAPSED
1SW-Wk4-Day1,CCE | 1SW Wk4 Day 1 | IT Support Pathway Exploration,exit-ticket-only (Career and College Explorations - Comparison Matrix; 1282 chars body),wk4-day1-career-interest-check.pdf [worksheet/1p] #14662886 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk4-day1-career-interest-check.pdf/1p #14662886 inDoc=no student=NOT-LINKED teacher=LINKED || wk4-it-support-career-cards.pdf/2p #14519372 inDoc=yes student=LINKED teacher=LINKED,student-1sw-wk4-day-1-it-support-careers-and-interests,teacher-1sw-wk4-day-1-facilitator-guide,pending,1kgqmYYU7_c9uVBvUiVdgaC7TutKs5Pq7VInyeSs75HY,COLLAPSED
1SW-Wk4-Day2,CCE | 1SW Wk4 Day 2 | Certification Deep-Dive - CompTIA Roadmap,exit-ticket-only (Career and College Explorations - Ranked Justification; 1235 chars body),wk4-day2-route-decision.pdf [worksheet/1p] #14519377 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || wk4-education-pathway-comparison.pdf [worksheet/2p] #14519375 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk4-day2-route-decision.pdf/1p #14519377 inDoc=no student=NOT-LINKED teacher=LINKED || wk4-education-pathway-comparison.pdf/2p #14519375 inDoc=yes student=NOT-LINKED teacher=LINKED,student-1sw-wk4-day-2-compare-education-routes,teacher-1sw-wk4-day-2-facilitator-guide,pending,1diF5-6KXuEO3fYTvdoE4uN-Typ2CgKJhq0o1-QCMGcM,COLLAPSED-MULTI
1SW-Wk4-Day3,CCE | 1SW Wk4 Day 3 | Help Desk Simulator (MakeCode Day 1),exit-ticket-only (Career and College Explorations - Decision Tree; 1168 chars body),1sw-wk4-day3-help-desk-simulator-makecode-day-1.pdf [exit-ticket] #14519383 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || wk4-help-desk-program-evidence.pdf [worksheet/2p] #14565268 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || wk4-troubleshooting-step-sort-cards.pdf [worksheet/1p] #14519380 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk4-help-desk-program-evidence.pdf/2p #14565268 inDoc=no student=NOT-LINKED teacher=LINKED || wk4-help-desk-scenario-cards.pdf/1p #14519378 inDoc=no student=LINKED teacher=LINKED || wk4-makecode-starter-blocks.pdf/2p #14565267 inDoc=no student=LINKED teacher=LINKED || wk4-troubleshooting-step-sort-cards.pdf/1p #14519380 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk4-day-3-build-a-help-desk-sequence,teacher-1sw-wk4-day-3-facilitator-guide,pending,12CIjz5JJqkGpGMuOmP4Yah3EmQx1yHIA1X9YlNTIBww,COLLAPSED-MULTI
1SW-Wk4-Day4,CCE | 1SW Wk4 Day 4 | Refine the Help Desk Tool + Customer Service Role-Play,exit-ticket-only (Career and College Explorations - Diagnostic MCQ; 1367 chars body),wk4-day4-customer-service-check.pdf [worksheet/1p] #14565271 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || wk4-help-desk-role-play-script.pdf [worksheet/2p] #14565269 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk4-day4-customer-service-check.pdf/1p #14565271 inDoc=no student=NOT-LINKED teacher=LINKED || wk4-help-desk-role-play-script.pdf/2p #14565269 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk4-day-4-test-and-role-play,teacher-1sw-wk4-day-4-facilitator-guide,pending,1aHRxyuAAszggAPHnuTbgI3iE5qTIKUuDj8lSEXe_NHE,COLLAPSED-MULTI
1SW-Wk4-Day5,CCE | 1SW Wk4 Day 5 | Help Desk Demos + H&L IT Support Favorites,exit-ticket-only (Career and College Explorations - Concept Map; 1486 chars body),wk4-day5-xello-skill-connection.pdf [worksheet/1p] #14519389 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk4-day5-xello-skill-connection.pdf/1p #14519389 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk4-day-5-add-skills-and-submit-evidence,teacher-1sw-wk4-day-5-facilitator-guide,pending,19g8jcaDFi4wx-DbAvgy5WkOGUYDHNvpA3h_hHldTBE8,COLLAPSED
1SW-Wk5-Day1,CCE | 1SW Wk5 Day 1 | Cybersecurity Pathway + CyberSeek Career Map,exit-ticket-only (Career and College Explorations - Ranked Justification; 1365 chars body),wk5-cyberseek-pathway.pdf [worksheet/2p] #14565274 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk5-cyberseek-pathway.pdf/2p #14565274 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk5-day-1-cybersecurity-career-routes,teacher-1sw-wk5-day-1-facilitator-guide,pending,1lcaNjnnO9B-EpnDnb9v8Rw5ui-nE_S67jV8R4ddAjnE,COLLAPSED
1SW-Wk5-Day2,CCE | 1SW Wk5 Day 2 | Cybersecurity in Action - Cyber Safety Creator (Day 1),exit-ticket-only (Career and College Explorations - Mini-Case; 1119 chars body),wk5-red-flag-checklist.pdf [worksheet/2p] #14565275 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk5-red-flag-checklist.pdf/2p #14565275 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk5-day-2-safe-or-spoofed-inbox,teacher-1sw-wk5-day-2-facilitator-guide,pending,1VDXTMJS3kLiOa00f74Td0WmgulM9YlapVemkWJTzBAU,COLLAPSED
1SW-Wk5-Day3,CCE | 1SW Wk5 Day 3 | Cyber Safety Peer Feedback + Integrity in the Workplace,exit-ticket-only (Career and College Explorations - Trade-off; 1287 chars body),wk5-bootcamp-planning-template.pdf [worksheet/2p] #14565276 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk5-bootcamp-planning-template.pdf/2p #14565276 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk5-day-3-community-cybersecurity-bootcamp,teacher-1sw-wk5-day-3-facilitator-guide,pending,14rUClKAKFikhGm_LZWPoz5t5AdzlRr_5hJ7kELQFdc4,COLLAPSED
1SW-Wk5-Day4,CCE | 1SW Wk5 Day 4 | Glowforge College - Career Logo Design,exit-ticket-only (Career and College Explorations - Decision Tree; 1245 chars body),wk5-cyberseek-pathway.pdf [worksheet/2p] #14565274 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk5-cyberseek-pathway.pdf/2p #14565274 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk5-day-4-strengthen-cybersecurity-career-evidence,teacher-1sw-wk5-day-4-facilitator-guide,pending,1tG31h90eP3z4-7gxB_9Fg6UHzjJgiGnd3p4MNCbligE,COLLAPSED
1SW-Wk5-Day5,"CCE | 1SW Wk5 Day 5 | Capstone Goal, Transitions, and Reflection","exit-ticket-only (H&L Setup and Discover Your Core; 1840 chars body) — WRONG-DAY CONTENT: body is the 1SW Wk0 Day 2 ""Who Are You at Work?"" ticket",wk5-reflection-update-template.pdf [worksheet/2p] #14565280 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,wk5-reflection-update-template.pdf/2p #14565280 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk5-day-5-capstone-goal-and-reflection,teacher-1sw-wk5-day-5-facilitator-guide,pending,1QKZLyhP4bQUoHRi27u4RX0RHaY6y0XCetS2akxlBeOg,COLLAPSED WRONG-DAY-DOC
2SW-Wk1-Day1,CCE | 2SW Wk1 Day 1 | Law Cluster Tour + Legal Services Pathway,exit-ticket-only (Career and College Explorations - Comparison Matrix; 1177 chars body),career-research-worksheet.pdf [worksheet/1p] #14565289 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,"2sw-wk1-legal-career-cards.pdf/2p #14565290 inDoc=no student=LINKED teacher=LINKED || career-research-worksheet.pdf/1p #14517430,14565289,14580290,14580292 inDoc=no student=NOT-LINKED teacher=LINKED",student-2sw-wk1-day-1-explore-legal-careers,teacher-2sw-wk1-day-1-facilitator-guide,pending,17cTOaP2ajzm6zH1GS5ckRHSQBtQUiHWsAoITs5J5vTI,COLLAPSED
2SW-Wk1-Day2,CCE | 2SW Wk1 Day 2 | Emergency Essentials Kit Design,exit-ticket-only (Career and College Explorations - Ranked Justification; 1049 chars body),(none),2sw-wk1-emergency-kit-plan.pdf/2p #14565291 inDoc=no student=NOT-LINKED teacher=LINKED,student-2sw-wk1-day-2-emergency-kit-decisions,teacher-2sw-wk1-day-2-facilitator-guide,pending,1WERX1YACAkauFfN6bzJ_XmEQOg8BfAb-kU525vPduG4,COLLAPSED
2SW-Wk1-Day3,CCE | 2SW Wk1 Day 3 | iCivics - Justice in Action,exit-ticket-only (Career and College Explorations - Decision Tree; 1277 chars body),2sw-wk1-city-council-plan.pdf [worksheet/3p] #14565292 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,2sw-wk1-city-council-plan.pdf/3p #14565292 inDoc=no student=NOT-LINKED teacher=LINKED,student-2sw-wk1-day-3-city-council-ordinances,teacher-2sw-wk1-day-3-facilitator-guide,pending,1WICiATYetS00c7aDot0AiELiWlrci50KmULFA4EjmxA,COLLAPSED
2SW-Wk1-Day4,CCE | 2SW Wk1 Day 4 | AI Ethics Debate + Legal Entrepreneurship,exit-ticket-only (Career and College Explorations - Short Constructed Response; 1124 chars body),2sw-wk1-legal-entrepreneur-card.pdf [worksheet/2p] #14565294 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || 2sw-wk1-policy-argument-and-evidence.pdf [worksheet/2p] #14565293 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,2sw-wk1-legal-entrepreneur-card.pdf/2p #14565294 inDoc=no student=NOT-LINKED teacher=LINKED || 2sw-wk1-policy-argument-and-evidence.pdf/2p #14565293 inDoc=no student=NOT-LINKED teacher=LINKED,student-2sw-wk1-day-4-policy-showdown,teacher-2sw-wk1-day-4-facilitator-guide,pending,1dlppySkceZ0Lb-zbitGabAexHf55tRXyqzlgQM0OQoY,COLLAPSED-MULTI
2SW-Wk1-Day5,CCE | 2SW Wk1 Day 5 | Cluster Wrap-Up + Xello Life Experience,exit-ticket-only (Career and College Explorations - Concept Map; 1584 chars body),2sw-wk1-xello-life-experience-connection.pdf [worksheet/1p] #14565296 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,2sw-wk1-xello-life-experience-connection.pdf/1p #14565296 inDoc=yes student=NOT-LINKED teacher=LINKED,student-2sw-wk1-day-5-legal-career-evidence-and-xello,teacher-2sw-wk1-day-5-facilitator-guide,pending,1UGWc3WUuXOzne9Qz9StdipOHW0CBeD4s9DSQ8MQs0y8,
2SW-Wk2-Day1,CCE | 2SW Wk2 Day 1 | First Responder Pathways,exit-ticket-only (Career and College Explorations - Mini-Case; 1106 chars body),2sw-wk2-first-responder-route-guide.pdf [worksheet/4p] #14606186 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,2sw-wk2-first-responder-route-guide.pdf/4p #14606186 inDoc=no student=NOT-LINKED teacher=LINKED,student-2sw-wk2-day-1-first-responder-routes,teacher-2sw-wk2-day-1-facilitator-guide,pending,1OcPO_4LtnzD4uvW6uHVHDATLyWcNvESwMa8zD-B92D0,COLLAPSED
2SW-Wk2-Day2,CCE | 2SW Wk2 Day 2 | Missing Painting - Detective Scenario,exit-ticket-only (Career and College Explorations - Diagnostic MCQ; 1340 chars body),2sw-wk2-clinton-lake-evidence-tracker.pdf [worksheet/2p] #14580298 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,2sw-wk2-clinton-lake-evidence-tracker.pdf/2p #14580298 inDoc=no student=NOT-LINKED teacher=LINKED,student-2sw-wk2-day-2-clinton-lake-evidence,teacher-2sw-wk2-day-2-facilitator-guide,pending,1CxbWjEfUmQ0QrW1n8XIlJ1qDIQIf3gfMmgEL3h0fVnM,COLLAPSED
2SW-Wk2-Day3,CCE | 2SW Wk2 Day 3 | Local Risk Response - Task Force Setup,exit-ticket-only (Career and College Explorations - Decision Tree; 1223 chars body),2sw-wk2-trail-simulation-record.pdf [worksheet/2p] #14580299 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,2sw-wk2-trail-simulation-record.pdf/2p #14580299 inDoc=no student=NOT-LINKED teacher=LINKED,student-2sw-wk2-day-3-trail-response-simulation,teacher-2sw-wk2-day-3-facilitator-guide,pending,1ZZ0CPn7hTt7YdBShc8kh-8zm93CXxf66HnMiZq0zH4k,COLLAPSED
2SW-Wk2-Day4,CCE | 2SW Wk2 Day 4 | Local Risk Response - Citywide Emergency Plan,exit-ticket-only (Career and College Explorations - Trade-off; 1357 chars body),2sw-wk2-patient-care-report.pdf [worksheet/2p] #14565301 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,2sw-wk2-patient-care-report.pdf/2p #14565301 inDoc=no student=NOT-LINKED teacher=LINKED,student-2sw-wk2-day-4-patient-report-and-safety-plan,teacher-2sw-wk2-day-4-facilitator-guide,pending,1LJuEuakt7IDSB577DqQsOZduNpRquq648yH0GbEuU54,COLLAPSED
2SW-Wk2-Day5,CCE | 2SW Wk2 Day 5 | Cluster Wrap-Up + Reflection,exit-ticket-only (Career and College Explorations - Concept Map; 1172 chars body),2sw-wk2-integrity-career-reflection.pdf [worksheet/1p] #14580301 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,2sw-wk2-integrity-career-reflection.pdf/1p #14580301 inDoc=no student=NOT-LINKED teacher=LINKED,student-2sw-wk2-day-5-career-and-integrity-reflection,teacher-2sw-wk2-day-5-facilitator-guide,pending,1W_FOBWYPEdjIwu1q9JoNOC2mMZHs4GgSVjjCMljqfh8,COLLAPSED
2SW-Wk3-Day1,CCE | 2SW Wk3 Day 1 | Health Science Cluster + CNA - LVN,exit-ticket-only (Career and College Explorations - Comparison Matrix; 1167 chars body),(none),2sw-wk3-nursing-route-comparison.pdf/4p #14565338 inDoc=no student=NOT-LINKED teacher=LINKED || 2sw-wk3-nursing-route-guide.pdf/2p #14565337 inDoc=no student=LINKED teacher=LINKED,student-2sw-wk3-day-1-compare-nursing-routes,teacher-2sw-wk3-day-1-facilitator-guide,pending,1Z0WUpocF_mAUzyiOfCnsWnpvvFi1nDjCrlRZz6q-dBA,COLLAPSED
2SW-Wk3-Day2,CCE | 2SW Wk3 Day 2 | Climbing the Nursing Ladder,exit-ticket-only (Career and College Explorations - Ranked Justification; 1274 chars body),(none),2sw-wk3-nursing-route-comparison.pdf/4p #14565338 inDoc=no student=NOT-LINKED teacher=LINKED || 2sw-wk3-nursing-route-guide.pdf/2p #14565337 inDoc=no student=NOT-LINKED teacher=LINKED,student-2sw-wk3-day-2-choose-with-evidence,teacher-2sw-wk3-day-2-facilitator-guide,pending,1vaRI2Guen4TkGVPNim0ZOem7D8mkSfmpt9XTrm2ClOQ,COLLAPSED
