day_key,source,cited_pages,section_claimed,pdf_page_checked,found_yes_no,note
1sw-wk1-day3,canvas_student_page,p.206,Super Sports Manufacturing,212,partial,"section title ""Super Sports Manufacturing"" not literally on printed p.206; appears on printed p.204 | page content: Step 4: Label Your Welds / Now, go back to your sketch and clearly / l"
1sw-wk1-day4,day.md,p.200,"(page ref, no named section)",206,yes,FYF PDF p.206 content: 12 / Robots for Crayons / A lot of factories stay open 24/7. To pull t
1sw-wk1-day4,day.md,p.201,"(page ref, no named section)",207,yes,FYF PDF p.207 content: Step 2: How the Machines Work / COLOR SENSORS / • Detect color using l
1sw-wk1-day4,day.md,p.202,"(page ref, no named section)",208,yes,FYF PDF p.208 content: Problem 2: Slow Robotic Arm / What’s Happening: / The robot arm someti
1sw-wk1-day4,day.md,p.203,"(page ref, no named section)",209,yes,FYF PDF p.209 content: Step 5: Create a Plan / Discuss the different solutions you came up wi
1sw-wk1-day4,canvas_student_page,p.200,"(page ref, no named section)",206,yes,FYF PDF p.206 content: 12 / Robots for Crayons / A lot of factories stay open 24/7. To pull t
1sw-wk1-day4,canvas_student_page,p.201,"(page ref, no named section)",207,yes,FYF PDF p.207 content: Step 2: How the Machines Work / COLOR SENSORS / • Detect color using l
1sw-wk1-day4,canvas_student_page,p.202,"(page ref, no named section)",208,yes,FYF PDF p.208 content: Problem 2: Slow Robotic Arm / What’s Happening: / The robot arm someti
1sw-wk2-day1,day.md,p.23,Exploring the World of INFORMATION TECHNOLOGY,29,yes,FYF PDF p.29 content: Career / Climb / 2
1sw-wk2-day1,day.md,p.36,What is Happening at My District?,42,yes,FYF PDF p.42 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
1sw-wk2-day1,day.md,p.38,App Exploration,44,yes,FYF PDF p.44 content: 2 / App Exploration / Get out your laptop. Open the Hats & Ladders app
1sw-wk2-day1,canvas_student_page,p.23,Exploring the World of INFORMATION TECHNOLOGY,29,yes,FYF PDF p.29 content: Career / Climb / 2
1sw-wk2-day2,day.md,p.38,App Exploration,44,yes,FYF PDF p.44 content: 2 / App Exploration / Get out your laptop. Open the Hats & Ladders app
1sw-wk2-day2,canvas_student_page,(none),(none),,n/a,student page cites no workbook page while day.md cites [38]
1sw-wk2-day3,day.md,p.26,Powerskill: Resilience,32,yes,FYF PDF p.32 content: 2 / Have you ever spent a ton of time on a project or / practiced hard
1sw-wk2-day3,day.md,p.27,Powerskill: Resilience,33,partial,"section title ""Powerskill: Resilience"" not literally on printed p.27; appears on printed p.26 | page content: Step 2: Flip the Failure / The plan didn’t work, and your team is / fe"
1sw-wk2-day3,canvas_student_page,p.26,Powerskill: Resilience,32,yes,FYF PDF p.32 content: 2 / Have you ever spent a ton of time on a project or / practiced hard
1sw-wk3-day1,day.md,p.38,"(page ref, no named section)",44,yes,FYF PDF p.44 content: 2 / App Exploration / Get out your laptop. Open the Hats & Ladders app
1sw-wk3-day1,canvas_student_page,(none),(none),,n/a,student page cites no workbook page while day.md cites [38]
1sw-wk3-day2,day.md,p.28,"(page ref, no named section)",34,yes,FYF PDF p.34 content: 2 / Website Revamp / Have you ever used an app that was super confusin
1sw-wk3-day2,day.md,p.29,"(page ref, no named section)",35,yes,FYF PDF p.35 content: Step 3: Be a UX Detective / What works well? List at least 3 things th
1sw-wk3-day2,canvas_student_page,p.28,"(page ref, no named section)",34,yes,FYF PDF p.34 content: 2 / Website Revamp / Have you ever used an app that was super confusin
1sw-wk3-day2,canvas_student_page,p.29,"(page ref, no named section)",35,yes,FYF PDF p.35 content: Step 3: Be a UX Detective / What works well? List at least 3 things th
1sw-wk3-day3,day.md,p.30,"(page ref, no named section)",36,yes,"FYF PDF p.36 content: 2 / From Wireframe to Wow / Have you ever used an app and thought, “Wo"
1sw-wk3-day3,day.md,p.31,"(page ref, no named section)",37,yes,"FYF PDF p.37 content: Step 3: Create / Wireframes / Wireframes are quick, simple"
1sw-wk3-day3,day.md,p.32,"(page ref, no named section)",38,yes,FYF PDF p.38 content: 32 / Screen 3: Action Screen / Screen 4: “Success” Screen
1sw-wk3-day3,day.md,p.33,"(page ref, no named section)",39,yes,FYF PDF p.39 content: Step 4: Test Your App / Trade your design with a partner. / Your partn
1sw-wk3-day3,day.md,p.280,"(page ref, no named section)",286,yes,FYF PDF p.286 content: Rubric / 4 - Excellent / 3 - Good
1sw-wk3-day3,canvas_student_page,p.30,"(page ref, no named section)",36,yes,"FYF PDF p.36 content: 2 / From Wireframe to Wow / Have you ever used an app and thought, “Wo"
1sw-wk3-day3,canvas_student_page,p.31,"(page ref, no named section)",37,yes,"FYF PDF p.37 content: Step 3: Create / Wireframes / Wireframes are quick, simple"
1sw-wk3-day3,canvas_student_page,p.32,"(page ref, no named section)",38,yes,FYF PDF p.38 content: 32 / Screen 3: Action Screen / Screen 4: “Success” Screen
1sw-wk3-day3,canvas_student_page,p.33,"(page ref, no named section)",39,yes,FYF PDF p.39 content: Step 4: Test Your App / Trade your design with a partner. / Your partn
1sw-wk4-day1,day.md,p.36,"(page ref, no named section)",42,yes,FYF PDF p.42 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
1sw-wk4-day1,day.md,p.38,"(page ref, no named section)",44,yes,FYF PDF p.44 content: 2 / App Exploration / Get out your laptop. Open the Hats & Ladders app
1sw-wk4-day1,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [36, 38]"
1sw-wk4-day2,day.md,p.37,"(page ref, no named section)",43,yes,FYF PDF p.43 content: Related / Irving ISD’s new Career and Technical / Education Center wil
1sw-wk4-day2,canvas_student_page,(none),(none),,n/a,student page cites no workbook page while day.md cites [37]
1sw-wk5-day1,day.md,p.36,"(page ref, no named section)",42,yes,FYF PDF p.42 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
1sw-wk5-day1,day.md,p.37,"(page ref, no named section)",43,yes,FYF PDF p.43 content: Related / Irving ISD’s new Career and Technical / Education Center wil
1sw-wk5-day1,day.md,p.38,"(page ref, no named section)",44,yes,FYF PDF p.44 content: 2 / App Exploration / Get out your laptop. Open the Hats & Ladders app
1sw-wk5-day1,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [36, 37, 38]"
1sw-wk5-day2,day.md,p.24,"(page ref, no named section)",30,yes,FYF PDF p.30 content: 2 / Safe or Spoofed? / Cybersecurity exists for a reason: not everyone
1sw-wk5-day2,day.md,p.25,"(page ref, no named section)",31,yes,FYF PDF p.31 content: Step 2: Investigate the Inbox / Get Climber Notes from your teacher. R
1sw-wk5-day2,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [24, 25]"
1sw-wk5-day3,day.md,p.34,"(page ref, no named section)",40,yes,FYF PDF p.40 content: 2 / Powerskill: / Work Ethic
1sw-wk5-day3,day.md,p.35,"(page ref, no named section)",41,yes,FYF PDF p.41 content: Step 2: Plan Your Program / Question / Answer
1sw-wk5-day3,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [34, 35]"
1sw-wk5-day4,day.md,p.36,"(page ref, no named section)",42,yes,FYF PDF p.42 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
1sw-wk5-day4,day.md,p.37,"(page ref, no named section)",43,yes,FYF PDF p.43 content: Related / Irving ISD’s new Career and Technical / Education Center wil
1sw-wk5-day4,day.md,p.38,"(page ref, no named section)",44,yes,FYF PDF p.44 content: 2 / App Exploration / Get out your laptop. Open the Hats & Ladders app
1sw-wk5-day4,canvas_student_page,p.36,"(page ref, no named section)",42,yes,FYF PDF p.42 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
1sw-wk5-day4,canvas_student_page,p.37,"(page ref, no named section)",43,yes,FYF PDF p.43 content: Related / Irving ISD’s new Career and Technical / Education Center wil
1sw-wk5-day4,canvas_student_page,p.38,"(page ref, no named section)",44,yes,FYF PDF p.44 content: 2 / App Exploration / Get out your laptop. Open the Hats & Ladders app
2sw-wk1-day1,day.md,p.39,Exploring the World of LAW AND PUBLIC SAFETY,45,yes,FYF PDF p.45 content: Career / Climb / 3
2sw-wk1-day1,day.md,p.56,What is Happening at My District?,62,yes,FYF PDF p.62 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
2sw-wk1-day1,day.md,p.58,App Exploration,64,yes,FYF PDF p.64 content: 3 / App Exploration / Get out your laptop. Open the Hats & Ladders app
2sw-wk1-day1,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [39, 56, 58]"
2sw-wk1-day2,day.md,p.50,Emergency Essentials: Kit Design,56,yes,FYF PDF p.56 content: 3 / Emergency Essentials: / Kit Design
2sw-wk1-day2,day.md,p.51,Emergency Essentials: Kit Design,57,partial,"section title ""Emergency Essentials: Kit Design"" not literally on printed p.51; appears on printed p.50 | page content: Step 3: Design Your Kit / It is time to create your kit! Draw your ite"
2sw-wk1-day2,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [50, 51]"
2sw-wk1-day3,day.md,p.40,"(page ref, no named section)",46,yes,FYF PDF p.46 content: 3 / City Council / in Action
2sw-wk1-day3,day.md,p.41,"(page ref, no named section)",47,yes,FYF PDF p.47 content: Step 2: Design Your Town / Create a basic plan for your town. Write or
2sw-wk1-day3,day.md,p.42,"(page ref, no named section)",48,yes,FYF PDF p.48 content: Step 3: Think Ahead: What Could Go Wrong? / Every town has challenges.
2sw-wk1-day3,day.md,p.43,"(page ref, no named section)",49,yes,FYF PDF p.49 content: Step 5: Review the Laws / City council members work together to review
2sw-wk1-day3,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [40, 41, 42, 43]"
2sw-wk1-day4,day.md,p.44,"(page ref, no named section)",50,yes,FYF PDF p.50 content: 3 / Policy Showdown / Cities deal with problems that affect how people
2sw-wk1-day4,day.md,p.45,"(page ref, no named section)",51,yes,"FYF PDF p.51 content: Who it applies to: / • Park visitors / • Food vendors, like food truck"
2sw-wk1-day4,day.md,p.46,"(page ref, no named section)",52,yes,FYF PDF p.52 content: Step 3: Prepare Your Arguments / Plan a 1-2 minute argument to present
2sw-wk1-day4,day.md,p.47,"(page ref, no named section)",53,yes,FYF PDF p.53 content: Step 4: Present Your Argument / Now that you have prepared your argume
2sw-wk1-day4,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [44, 45, 46, 47]"
2sw-wk1-day5,day.md,p.56,"(page ref, no named section)",62,yes,FYF PDF p.62 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
2sw-wk1-day5,day.md,p.58,App Exploration,64,yes,FYF PDF p.64 content: 3 / App Exploration / Get out your laptop. Open the Hats & Ladders app
2sw-wk1-day5,day.md,p.283,Rung 2: Career Goal,289,yes,"FYF PDF p.289 content: Rung 2: Career Goal / Now that you know more about yourself, it’s time"
2sw-wk1-day5,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [56, 58, 283]"
2sw-wk2-day1,day.md,p.39,"(page ref, no named section)",45,yes,FYF PDF p.45 content: Career / Climb / 3
2sw-wk2-day1,day.md,p.56,"(page ref, no named section)",62,yes,FYF PDF p.62 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
2sw-wk2-day1,day.md,p.57,"(page ref, no named section)",63,yes,FYF PDF p.63 content: Related / Students in the Legal Studies program / at Singley Academy l
2sw-wk2-day1,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [39, 56, 57]"
2sw-wk2-day2,day.md,p.48,"(page ref, no named section)",54,yes,FYF PDF p.54 content: 3 / Clinton Lake Case / Lawyers are people who help solve problems usi
2sw-wk2-day2,day.md,p.49,"(page ref, no named section)",55,yes,FYF PDF p.55 content: Step 3: Build Your Case / Now it’s time to organize your argument. / A
2sw-wk2-day2,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [48, 49]"
2sw-wk2-day3,day.md,p.52,"(page ref, no named section)",58,yes,"FYF PDF p.58 content: 3 / Injured on the Trail / When someone is injured in the wilderness, "
2sw-wk2-day3,day.md,p.53,"(page ref, no named section)",59,yes,FYF PDF p.59 content: Step 2: Work as a WFR / Step 3: Reflect and Switch Roles / Take turns 
2sw-wk2-day3,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [52, 53]"
2sw-wk2-day4,day.md,p.53,"(page ref, no named section)",59,yes,FYF PDF p.59 content: Step 2: Work as a WFR / Step 3: Reflect and Switch Roles / Take turns 
2sw-wk2-day4,day.md,p.54,"(page ref, no named section)",60,yes,"FYF PDF p.60 content: Step 5: Handle Wilderness / Complications / WFRs have to think fast, s"
2sw-wk2-day4,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [53, 54]"
2sw-wk2-day5,day.md,p.58,"(page ref, no named section)",64,yes,FYF PDF p.64 content: 3 / App Exploration / Get out your laptop. Open the Hats & Ladders app
2sw-wk2-day5,canvas_student_page,(none),(none),,n/a,student page cites no workbook page while day.md cites [58]
2sw-wk3-day1,day.md,p.59,Exploring the World of HEALTH SCIENCE,65,yes,FYF PDF p.65 content: Career / Climb / 4
2sw-wk3-day1,day.md,p.84,"(page ref, no named section)",90,yes,FYF PDF p.90 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
2sw-wk3-day1,day.md,p.85,"(page ref, no named section)",91,yes,FYF PDF p.91 content: Related / Students in the Health Science program at / Singley Academy 
2sw-wk3-day1,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [59, 84, 85]"
2sw-wk3-day3,day.md,p.60,"(page ref, no named section)",66,yes,FYF PDF p.66 content: 4 / Vitals in Motion / Not all nurses work in the same place every day
2sw-wk3-day3,canvas_student_page,(none),(none),,n/a,student page cites no workbook page while day.md cites [60]
2sw-wk3-day4,day.md,p.61,"(page ref, no named section)",67,yes,FYF PDF p.67 content: Step 2: Work as a Travel Nurse / Take turns acting as the Travel Nurse
2sw-wk3-day4,canvas_student_page,(none),(none),,n/a,student page cites no workbook page while day.md cites [61]
2sw-wk4-day1,day.md,p.69,"(page ref, no named section)",75,yes,FYF PDF p.75 content: 4 / Smile Squad / Ever wondered who takes care of kids’ teeth and make
2sw-wk4-day1,day.md,p.70,"(page ref, no named section)",76,yes,FYF PDF p.76 content: Step 3: Fill Out the Chart on Mia’s Cavity Risk / Patient Name: Mia / 
2sw-wk4-day1,day.md,p.71,"(page ref, no named section)",77,yes,FYF PDF p.77 content: Step 5: Team Check-In / Share your answers with a partner or small gro
2sw-wk4-day1,canvas_student_page,p.69,"(page ref, no named section)",75,yes,FYF PDF p.75 content: 4 / Smile Squad / Ever wondered who takes care of kids’ teeth and make
2sw-wk4-day1,canvas_student_page,p.70,"(page ref, no named section)",76,yes,FYF PDF p.76 content: Step 3: Fill Out the Chart on Mia’s Cavity Risk / Patient Name: Mia / 
2sw-wk4-day1,canvas_student_page,p.71,"(page ref, no named section)",77,yes,FYF PDF p.77 content: Step 5: Team Check-In / Share your answers with a partner or small gro
2sw-wk4-day2,day.md,p.72,"(page ref, no named section)",78,yes,FYF PDF p.78 content: 4 / Perfect Toothbrush / The dental field is important for keeping us 
2sw-wk4-day2,day.md,p.73,"(page ref, no named section)",79,yes,FYF PDF p.79 content: Step 2: Sketch Your Perfect Toothbrush / Label key elements and explai
2sw-wk4-day2,canvas_student_page,p.72,"(page ref, no named section)",78,yes,FYF PDF p.78 content: 4 / Perfect Toothbrush / The dental field is important for keeping us 
2sw-wk4-day2,canvas_student_page,p.73,"(page ref, no named section)",79,yes,FYF PDF p.79 content: Step 2: Sketch Your Perfect Toothbrush / Label key elements and explai
2sw-wk4-day4,day.md,p.84,"(page ref, no named section)",90,yes,FYF PDF p.90 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
2sw-wk4-day4,day.md,p.85,"(page ref, no named section)",91,yes,FYF PDF p.91 content: Related / Students in the Health Science program at / Singley Academy 
2sw-wk4-day4,canvas_student_page,p.84,"(page ref, no named section)",90,yes,FYF PDF p.90 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
2sw-wk4-day4,canvas_student_page,p.85,"(page ref, no named section)",91,yes,FYF PDF p.91 content: Related / Students in the Health Science program at / Singley Academy 
2sw-wk5-day1,day.md,p.12,"(page ref, no named section)",18,yes,FYF PDF p.18 content: Introduction to Powerskills / You already have skills that nobody spec
2sw-wk5-day1,day.md,p.13,"(page ref, no named section)",19,yes,FYF PDF p.19 content: Step 2: Make Connections / Partner up or join a small group. Choose th
2sw-wk5-day1,day.md,p.14,"(page ref, no named section)",20,yes,FYF PDF p.20 content: Step 4: Build Your Powerskills Trading Card / Now that you know your P
2sw-wk5-day1,day.md,p.144,"(page ref, no named section)",150,yes,FYF PDF p.150 content: 9 / Powerskill: / Conflict Resolution
2sw-wk5-day1,day.md,p.145,"(page ref, no named section)",151,yes,"FYF PDF p.151 content: Step 2: Work Through Conflict / As a group, create a plan to work thro"
2sw-wk5-day1,canvas_student_page,p.144,"(page ref, no named section)",150,yes,FYF PDF p.150 content: 9 / Powerskill: / Conflict Resolution
2sw-wk5-day1,canvas_student_page,p.145,"(page ref, no named section)",151,yes,"FYF PDF p.151 content: Step 2: Work Through Conflict / As a group, create a plan to work thro"
2sw-wk5-day2,day.md,p.62,"(page ref, no named section)",68,yes,FYF PDF p.68 content: 4 / Powerskill: / Active Listening
2sw-wk5-day2,day.md,p.63,"(page ref, no named section)",69,yes,FYF PDF p.69 content: Step 2: Separate Important Details from Extra Information / Patients o
2sw-wk5-day2,canvas_student_page,p.62,"(page ref, no named section)",68,yes,FYF PDF p.68 content: 4 / Powerskill: / Active Listening
2sw-wk5-day2,canvas_student_page,p.63,"(page ref, no named section)",69,yes,FYF PDF p.69 content: Step 2: Separate Important Details from Extra Information / Patients o
2sw-wk5-day3,day.md,p.134,"(page ref, no named section)",140,yes,FYF PDF p.140 content: 8 / Powerskill: Advocacy / Advocacy is the act of supporting or standi
2sw-wk5-day3,day.md,p.135,"(page ref, no named section)",141,yes,FYF PDF p.141 content: Step 2: Brainstorm Ideas / Use sticky notes to brainstorm ideas about 
2sw-wk5-day3,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [134, 135]"
2sw-wk5-day4,day.md,p.147,"(page ref, no named section)",153,yes,FYF PDF p.153 content: Powerskill: / Written Communication / 9
2sw-wk5-day4,day.md,p.148,"(page ref, no named section)",154,yes,FYF PDF p.154 content: Step 2: Create a Social Media Post / Your post should: / • Clearly exp
2sw-wk5-day4,canvas_student_page,p.147,"(page ref, no named section)",153,yes,FYF PDF p.153 content: Powerskill: / Written Communication / 9
2sw-wk5-day4,canvas_student_page,p.148,"(page ref, no named section)",154,yes,FYF PDF p.154 content: Step 2: Create a Social Media Post / Your post should: / • Clearly exp
2sw-wk6-day2,day.md,p.79,"(page ref, no named section)",85,yes,FYF PDF p.85 content: 4 / Mini Medics / Imagine a robot so small it can travel through the h
2sw-wk6-day2,day.md,p.80,"(page ref, no named section)",86,yes,FYF PDF p.86 content: Step 2: Plan Your Nanobot / Name of your nanobot:_____________________
2sw-wk6-day2,day.md,p.81,"(page ref, no named section)",87,yes,FYF PDF p.87 content: Step 3: Draw and Label / Your Nanobot / Use chart paper or poster boar
2sw-wk6-day2,canvas_student_page,p.79,"(page ref, no named section)",85,yes,FYF PDF p.85 content: 4 / Mini Medics / Imagine a robot so small it can travel through the h
2sw-wk6-day2,canvas_student_page,p.80,"(page ref, no named section)",86,yes,FYF PDF p.86 content: Step 2: Plan Your Nanobot / Name of your nanobot:_____________________
2sw-wk6-day2,canvas_student_page,p.81,"(page ref, no named section)",87,yes,FYF PDF p.87 content: Step 3: Draw and Label / Your Nanobot / Use chart paper or poster boar
2sw-wk6-day3,day.md,p.74,"(page ref, no named section)",80,yes,FYF PDF p.80 content: 4 / Outbreak Investigators / Environmental epidemiologists are scienti
2sw-wk6-day3,day.md,p.75,"(page ref, no named section)",81,yes,FYF PDF p.81 content: Environmental Clues: / • The town’s main water well is / located near 
2sw-wk6-day3,day.md,p.76,"(page ref, no named section)",82,yes,FYF PDF p.82 content: Step 3: Analyze the Outbreak / Pattern of Illness: Who got sick first?
2sw-wk6-day3,day.md,p.77,"(page ref, no named section)",83,yes,FYF PDF p.83 content: Step 4: Create a Response Plan / Helpful Info for Investigators: / • W
2sw-wk6-day3,canvas_student_page,p.74,"(page ref, no named section)",80,yes,FYF PDF p.80 content: 4 / Outbreak Investigators / Environmental epidemiologists are scienti
2sw-wk6-day3,canvas_student_page,p.75,"(page ref, no named section)",81,yes,FYF PDF p.81 content: Environmental Clues: / • The town’s main water well is / located near 
2sw-wk6-day3,canvas_student_page,p.76,"(page ref, no named section)",82,yes,FYF PDF p.82 content: Step 3: Analyze the Outbreak / Pattern of Illness: Who got sick first?
2sw-wk6-day4,day.md,p.77,"(page ref, no named section)",83,yes,FYF PDF p.83 content: Step 4: Create a Response Plan / Helpful Info for Investigators: / • W
2sw-wk6-day4,day.md,p.78,"(page ref, no named section)",84,yes,FYF PDF p.84 content: Immediate Actions: / What should people do right away to stay safe? (C
2sw-wk6-day4,canvas_student_page,p.77,"(page ref, no named section)",83,yes,FYF PDF p.83 content: Step 4: Create a Response Plan / Helpful Info for Investigators: / • W
2sw-wk6-day4,canvas_student_page,p.78,"(page ref, no named section)",84,yes,FYF PDF p.84 content: Immediate Actions: / What should people do right away to stay safe? (C
2sw-wk6-day5,day.md,p.82,"(page ref, no named section)",88,yes,FYF PDF p.88 content: 4 / Patient / Education
2sw-wk6-day5,day.md,p.83,"(page ref, no named section)",89,yes,FYF PDF p.89 content: Step 3: Generate / and Observe / What Went
2sw-wk6-day5,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [82, 83]"
3sw-wk1-day1,day.md,p.87,"(page ref, no named section)",93,yes,FYF PDF p.93 content: Career / Climb / 5
3sw-wk1-day1,canvas_student_page,(none),(none),,n/a,student page cites no workbook page while day.md cites [87]
3sw-wk1-day3,day.md,p.96,"(page ref, no named section)",102,yes,FYF PDF p.102 content: 5 / Powerskill: / Critical Thinking
3sw-wk1-day3,day.md,p.97,"(page ref, no named section)",103,yes,FYF PDF p.103 content: PATIENT CHART #2 / Name: Barnaby Animal: Canine (Golden Retriever) Age
3sw-wk1-day3,day.md,p.98,"(page ref, no named section)",104,yes,"FYF PDF p.104 content: Step 2: Check / the Normal Ranges / For each stat, ask yourself:"
3sw-wk1-day3,day.md,p.99,"(page ref, no named section)",105,yes,FYF PDF p.105 content: Step 3: Identify Critical Information / For Leo: / For Barnaby:
3sw-wk1-day3,canvas_student_page,p.96,"(page ref, no named section)",102,yes,FYF PDF p.102 content: 5 / Powerskill: / Critical Thinking
3sw-wk1-day3,canvas_student_page,p.97,"(page ref, no named section)",103,yes,FYF PDF p.103 content: PATIENT CHART #2 / Name: Barnaby Animal: Canine (Golden Retriever) Age
3sw-wk1-day3,canvas_student_page,p.98,"(page ref, no named section)",104,yes,"FYF PDF p.104 content: Step 2: Check / the Normal Ranges / For each stat, ask yourself:"
3sw-wk1-day3,canvas_student_page,p.99,"(page ref, no named section)",105,yes,FYF PDF p.105 content: Step 3: Identify Critical Information / For Leo: / For Barnaby:
3sw-wk1-day5,day.md,p.100,"(page ref, no named section)",106,yes,FYF PDF p.106 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
